cmt,correct,name,vận chuyển,giá,đóng gói,dịch vụ,mùi hương,kết cấu,độ bền,Màu sắc,,,,,,,,,,,,,,,
"Giao hàng nhanh, đóng gói tốt, đúng mẫu.
Mịn, tuy nhiên độ lì mình thấy không quá ""siêu"" nhưng vẫn còn bám lại lớp tint mờ khá ổn.","Giao hàng nhanh, đóng gói tốt, đúng mẫu.
Mịn, tuy nhiên độ lì mình thấy không quá ""siêu"" nhưng vẫn còn bám lại lớp tint mờ khá ổn.","Son Kem Siêu Lì, Mịn Môi 3CE Cloud Lip Tint",1,0,1,1,0,0,1,0,,,,,,,,,,,,,,,
"thích nhất là mùi húng quế tây thoang thoảng dễ chịu. son dưỡng ẩm tốt, không có bị bóng dầu như mấy loại khác.","thích nhất là mùi húng quế tây thoang thoảng dễ chịu. son dưỡng ẩm tốt, không có bị bóng dầu như mấy loại khác.",Son Dưỡng Môi Mềm Mịn FOX Moisturizing Lipstick 2.4g,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,
"packing xinh , lạ , sang , chất son okla . lì .k bị khô môi.","packing xinh , lạ , sang , chất son okla . lì .k bị khô môi.",Son môi Charlotte Tilbury,0,0,1,0,0,1,1,0,,,,,,,,,,,,,,,
"Như mọi người có thể tìm thấy review sản phẩm trên mxh thì mình sẽ không nói lại, mà nói về chất lượng sản phẩm của shop thì rất tốt, mã vạch check ra đàng hoàng, uy tín. Mà đúng là sản phẩm này mới đầu xài không quen, mùi hơi hắc í và da dầu mình kiểm chứng là các bạn da dầu không nên dùng, tại không được sạch và kiềm dầu cũng không tốt lắm. Còn về phần chất lượng sản phẩm và tốc độ giao hàng của Tiki thì không chê vào đâu được, nói đúng ngày 15 giao là 15 giao để mai mình đi du lịch, mình cứ cuống cả lên mà Tiki thì lúc nào cũng uy tín trong việc đúng hẹn, mê thiệc chứ 😘 Nói chung là một sản phẩm rất tốt mà mọi người nên thử 😍","Như mọi người có thể tìm thấy review sản phẩm trên mxh thì mình sẽ không nói lại, mà nói về chất lượng sản phẩm của shop thì rất tốt, mã vạch check ra đàng hoàng, uy tín. Mà đúng là sản phẩm này mới đầu xài không quen, mùi hơi hắc í và da dầu mình kiểm chứng là các bạn da dầu không nên dùng, tại không được sạch và kiềm dầu cũng không tốt lắm. Còn về phần chất lượng sản phẩm và tốc độ giao hàng của Tiki thì không chê vào đâu được, nói đúng ngày 15 giao là 15 giao để mai mình đi du lịch, mình cứ cuống cả lên mà Tiki thì lúc nào cũng uy tín trong việc đúng hẹn, mê thiệt chứ 😘 Nói chung là một sản phẩm rất tốt mà mọi người nên thử 😍",Sữa rửa mặt Simple giúp da sạch thoáng & không chứa xà phòng 150ml [CHÍNH HÃNG ĐỘC QUYỀN],1,0,0,1,1,0,1,0,,,,,,,,,,,,,,,
"Mình da hhtd, bị vài cục mụn, nhưng xài vẫn bth. Trước mình hay xài nắp vàng mà ko còn thấy size lớn trên mọi shop nữa. Mình xài thử loại này, thấm khá nhanh, hơi nâng tông da mặt chút, bôi nhiều có thể bị trắng lố xí 😂 nhưng 1 hồi nó bớt trắng, chống nắng khá tốt, mùi ko quá nồng. Kiềm dầu dc tầm 3 tiếng. Mình nghĩ nếu ko hoạt động hay ở ngoài nắng, có thể lâu hơn.","Mình da hhtd, bị vài cục mụn, nhưng xài vẫn bth. Trước mình hay xài nắp vàng mà ko còn thấy size lớn trên mọi shop nữa. Mình xài thử loại này, thấm khá nhanh, hơi nâng tông da mặt chút, bôi nhiều có thể bị trắng lố xí 😂 nhưng 1 hồi nó bớt trắng, chống nắng khá tốt, mùi ko quá nồng. Kiềm dầu đc tầm 3 tiếng. Mình nghĩ nếu ko hoạt động hay ở ngoài nắng, có thể lâu hơn.",Sữa chống nắng nâng tông dành cho da dầu/hỗn hợp Sunplay Skin Aqua Tone Up UV Milk Lavender SPF50+ PA++++ (50g),0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,
"Mình đã dùng anessa 3 năm nay ko đổi rồi. Chất kem kiềm dầu rất tốt, xịt chống nắng mát lắm. Dễ sử dụng và tiện lợi.","Mình đã dùng anessa 3 năm nay ko đổi rồi. Chất kem kiềm dầu rất tốt, xịt chống nắng mát lắm. Dễ sử dụng và tiện lợi.",Bộ sản phẩm Kem chống nắng dưỡng da bảo vệ hoàn hảo cho da mặt và toàn thân (Anessa Gold Milk 60ml + Gold Gel 90g + Gold Spray 60g),0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,
"Như ở phần gt sản phẩm thì sữa rửa mặt này giúp kiềm dầu nên khi rửa xong mặt sẽ khá khô, mấy đứa mặt cả chậu dầu như mình thì thấy ok lắm nha.","Như ở phần gt sản phẩm thì sữa rửa mặt này giúp kiềm dầu nên khi rửa xong mặt sẽ khá khô, mấy đứa mặt cả chậu dầu như mình thì thấy ok lắm nha.",Combo 2 Sữa rửa mặt Simple giúp kiềm dầu và ngừa mụn hiệu quả - cho da mụn nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,
"Sản phẩm giống như quang cao. Hàng chính hãng . Team đầy đủ nguyên vẹn. Shop tư vấn nhiệt tình, giao hàng rất nhanh, Shipper giao hàng thân thiện. Chất lượng sản phẩm tuyệt vời kiềm dầu rất tốt, không bết dính.","Sản phẩm giống như quang cao. Hàng chính hãng . Team đầy đủ nguyên vẹn. Shop tư vấn nhiệt tình, giao hàng rất nhanh, Shipper giao hàng thân thiện. Chất lượng sản phẩm tuyệt vời kiềm dầu rất tốt, không bết dính.",Kem Chống Nắng Không Màu Kiểm Soát Dầu La Roche-Posay Anthelios XL Dry Touch Gel-Cream SPF 50+ UVB & UVA (50ml),1,0,0,1,0,1,1,0,,,,,,,,,,,,,,,
Cảm thấy chân ái đâu quanh đây. Vì Dùng nhiều loại rồi mà vẫn ko hài lòng vì da dầu. Loại nào Bôi lên da dc 1lúc mặt cũng bóng nhẩy tối sầm mặt luôn. Loại này bôi lên tới chiều vẫn okla. Chỉ hơi trắng so với tông da của mình nhưng cái quan trọng với mình là kiềm dầu đỉnh so với các loại trc mình dùng,Cảm thấy chân ái đâu quanh đây. Vì Dùng nhiều loại rồi mà vẫn ko hài lòng vì da dầu. Loại nào Bôi lên da dc 1 lúc mặt cũng bóng nhẫy tối sầm mặt luôn. Loại này bôi lên tới chiều vẫn okla. Chỉ hơi trắng so với tông da của mình nhưng cái quan trọng với mình là kiềm dầu đỉnh so với các loại trc mình dùng,Kem Chống Nắng Không Màu Kiểm Soát Dầu La Roche-Posay Anthelios XL Dry Touch Gel-Cream SPF 50+ UVB & UVA (50ml),0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,
"Chất kem mỏng, nhẹ, thoáng, kiềm dầu tốt, da dầu-hỗn hợp dùng rất hợp. Bảng thành phần oke, nhưg có slicone nên ai mà dị ứg thì ko nên mua. Giá quá hợp lí cho sv như m","Chất kem mỏng, nhẹ, thoáng, kiềm dầu tốt, da dầu-hỗn hợp dùng rất hợp. Bảng thành phần oke, nhưng có silicone nên ai mà dị ứng thì ko nên mua. Giá quá hợp lí cho sv như m","Sữa Chống Nắng Hằng Ngày Dưỡng Trắng Sunplay Skin Aqua Clear White SPF 50+, PA++++ (25g)",0,1,0,0,0,1,1,0,,,,,,,,,,,,,,,
"chất lỏng, thấm nhanh, khi mới bôi thì có mùi hơi khó chịu nhưng nhẹ thui và sẽ mất sau 1 2', kiềm dầu ổn, chỉ sáng da lên thui chứ không nâng tông mấy. Mình cũng mới sài 1 lần nên chưa biết hiệu quả như nào. Nchung với giá thành này thì rất ok luôn vì kiềm dầu ổn cho mấy người da nhiều dầu như mình","chất lỏng, thấm nhanh, khi mới bôi thì có mùi hơi khó chịu nhưng nhẹ thôi và sẽ mất sau 1 2', kiềm dầu ổn, chỉ sáng da lên thôi chứ không nâng tông mấy. Mình cũng mới sài 1 lần nên chưa biết hiệu quả như nào. Nchung với giá thành này thì rất ok luôn vì kiềm dầu ổn cho mấy người da nhiều dầu như mình","Sữa Chống Nắng Dưỡng Da Trắng Mịn Tối Ưu Sunplay Skin Aqua Clear White SPF50+, PA++++ (55g)",0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
Hàng chuẩn rất phù hợp vs da nhạy cảm kiềm dầu. Mình đã sd rất nhiều loại kcn nhưng loại này là ưng nhất nên giờ chỉ dùng loại này thôi,Hàng chuẩn rất phù hợp vs da nhạy cảm kiềm dầu. Mình đã sd rất nhiều loại kcn nhưng loại này là ưng nhất nên giờ chỉ dùng loại này thôi,"Sữa Chống Nắng Dưỡng Da Trắng Mịn Tối Ưu Sunplay Skin Aqua Clear White SPF50+, PA++++ (55g)",0,0,0,1,0,0,1,0,,,,,,,,,,,,,,,
"tiki giao hàng tốc độ, 11h đặt thì 16:30 cùng ngày nhận được hàng r.
Skin aqua thì mình dùng n lần r, rẻ, kiềm dầu cả ngày, ẩm mịn, lên tone nhẹ, chống trôi tốt... lần này đặt 2 chai đang giảm giá, r được free ship, tính ra chỉ 140k cho 1 chai 55g.","tiki giao hàng tốc độ, 11h đặt thì 16:30 cùng ngày nhận được hàng r.
Skin aqua thì mình dùng n lần r, rẻ, kiềm dầu cả ngày, ẩm mịn, lên tone nhẹ, chống trôi tốt... lần này đặt 2 chai đang giảm giá, r được free ship, tính ra chỉ 140k cho 1 chai 55g.","Sữa Chống Nắng Dưỡng Da Trắng Mịn Tối Ưu Sunplay Skin Aqua Clear White SPF50+, PA++++ (55g)",1,1,0,0,0,1,1,0,,,,,,,,,,,,,,,
"Hồi trước mình cũng dùng sản phẩm cũng hãng này rồi thấy rất ok, giờ có phiên bản mới cũng rất nhiệt tình ủng hộ. Sản phẩm có hương thơm hoa quả nhè nhẹ, kết cấu sản phẩm lỏng trắng đục thấm nhanh trên da. Thành phần còn giúp dưỡng da, giúp kiềm dầu tầm 4-5 tiếng đồng hồ phù hợp với da dầu. Mọi người có thể mua để trải nghiệm sản phẩm nha","Hồi trước mình cũng dùng sản phẩm cũng hãng này rồi thấy rất ok, giờ có phiên bản mới cũng rất nhiệt tình ủng hộ. Sản phẩm có hương thơm hoa quả nhè nhẹ, kết cấu sản phẩm lỏng trắng đục thấm nhanh trên da. Thành phần còn giúp dưỡng da, giúp kiềm dầu tầm 4-5 tiếng đồng hồ phù hợp với da dầu. Mọi người có thể mua để trải nghiệm sản phẩm nha",Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo Anessa Perfect UV Sunscreen Skincare Milk SPF 50+ PA++++ 60ml,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,
"Để cho công tâm thì mình phải nói là mình rất ưng sản phẩm này. Tuy nhiên 1* là dành cho dịch vụ promotion của Anessa. Mình thấy giống như Anessa đang lừa người mua hàng, lý do:
- Trước ngày 6/6: Anessa quảng cáo mua tuýp kcn nâng tông vào ngày 6/6 thì dc tặng lọ kcn kiềm dầu. Đến sang ngày 6/6 mình vào mua thì báo tạm ngưng bán
- Ngày 6/6 mình đặt mua bộ đôi kcn kiềm dầu giá 625k và Anessa có phiếu giảm giá 100k cho đơn hàng giá trị trên 600k, tuy nhiên k áp dụng dc. Hỏi nhân viên của shop thì nói là phiếu có HSD là 7/6, tức là ngày 7/6 mới dùng dc. Đến 7/6 mình mua thì k thấy mã đâu, nhân viên Anessa cứ nói là do mình không đọc kỹ. Thực sự thất vọng","Để cho công tâm thì mình phải nói là mình rất ưng sản phẩm này. Tuy nhiên 1* là dành cho dịch vụ promotion của Anessa. Mình thấy giống như Anessa đang lừa người mua hàng, lý do:
- Trước ngày 6/6: Anessa quảng cáo mua tuýp kcn nâng tông vào ngày 6/6 thì đc tặng lọ kcn kiềm dầu. Đến sáng ngày 6/6 mình vào mua thì báo tạm ngưng bán
- Ngày 6/6 mình đặt mua bộ đôi kcn kiềm dầu giá 625k và Anessa có phiếu giảm giá 100k cho đơn hàng giá trị trên 600k, tuy nhiên k áp dụng dc. Hỏi nhân viên của shop thì nói là phiếu có HSD là 7/6, tức là ngày 7/6 mới dùng đc. Đến 7/6 mình mua thì k thấy mã đâu, nhân viên Anessa cứ nói là do mình không đọc kỹ. Thực sự thất vọng",Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo Anessa Perfect UV Sunscreen Skincare Milk SPF 50+ PA++++ 60ml,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,
"Khok rất nhèo vì không phải tone up, may cái da mình cũng tạm gọi là trắng nên đánh phấn kiềm dầu nữa cũng được rồi, mà mấy loại kem chống nắng này vỏ tương tương nhau đọc không kĩ sẽ nhầm mn chú ý nha, còn chất rất là ok nhé, mình thích hơn cả cái có tone up cũ của innisfree mà mình từng xài, mall nên yên tâm mua nhé","Khóc rất nhiều vì không phải tone up, may cái da mình cũng tạm gọi là trắng nên đánh phấn kiềm dầu nữa cũng được rồi, mà mấy loại kem chống nắng này vỏ tương tương nhau đọc không kỹ sẽ nhầm mn chú ý nha, còn chất rất là ok nhé, mình thích hơn cả cái có tone up cũ của innisfree mà mình từng xài, mall nên yên tâm mua nhé",Kem chống nắng lâu trôi innisfree Intensive Long Lasting Sunscreen SPF50+ PA++++ 60ml (New 2023),0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,
"Sản phẩm tốt date mới hàng chính hãng ko có trôi nổi như mấy shop trên thị trường, date mới
Điểm cộng là Tiki giao nhanh chưa tới 2H đã nhận đc thứ 4 có beauty club mình áp mã giảm còn có 170k/ 8 miếng
Hiệu quả mask này thì đắp phê. Giảm sưng và mụn gom còi nhanh hơn. Kiềm dầu mua dự trữ để da đẹp ăn tết thui kkkkkk🥳 còn hơn tuần nữa là tết r mn ơi","Sản phẩm tốt date mới hàng chính hãng ko có trôi nổi như mấy shop trên thị trường, date mới
Điểm cộng là Tiki giao nhanh chưa tới 2H đã nhận đc thứ 4 có beauty club mình áp mã giảm còn có 170k/ 8 miếng
Hiệu quả mask này thì đắp phê. Giảm sưng và mụn gom cồi nhanh hơn. Kiềm dầu mua dự trữ để da đẹp ăn tết thôi kkkkkk🥳 còn hơn tuần nữa là tết r mn ơi",Hộp 8 Miếng Mặt Nạ Kiểm Soát Dầu Và Mụn Naruko Tràm Trà (Bản Đài) - Tea Tree Shine Control And Blemish Clear Mask,1,1,0,1,0,0,1,0,,,,,,,,,,,,,,,
Sản phẩm phù hợp với da dầu. Khả năng kiềm dầu rất tốt. Se khít lỗ chân lông. Da mặt tươi hơn. Nên dùng 1 tháng để thấy rõ kết quả. Lúc áp lên mặt sẽ có cảm giác châm chích da. Một lúc sẽ hết. Mùi thì hơi khó chịu cho những ai mới dùng. Mình dùng hộp thứ 4 rồi nên quen. Nên kết hợp nhiều bước dưỡng da để có làn da khoẻ đẹp. Dưỡng chất trong da rất nhiều. Mình dùng cho cả phần cổ.,Sản phẩm phù hợp với da dầu. Khả năng kiềm dầu rất tốt. Se khít lỗ chân lông. Da mặt tươi hơn. Nên dùng 1 tháng để thấy rõ kết quả. Lúc áp lên mặt sẽ có cảm giác châm chích da. Một lúc sẽ hết. Mùi thì hơi khó chịu cho những ai mới dùng. Mình dùng hộp thứ 4 rồi nên quen. Nên kết hợp nhiều bước dưỡng da để có làn da khỏe đẹp. Dưỡng chất trong da rất nhiều. Mình dùng cho cả phần cổ.,Hộp 8 Miếng Mặt Nạ Kiểm Soát Dầu Và Mụn Naruko Tràm Trà (Bản Đài) - Tea Tree Shine Control And Blemish Clear Mask,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,
"giao hàng nhanh đầy đủ quà tặng mình sử dụng đc 1 tháng r cũng thấy kiềm dầu khá tốt mùi sẽ hơi nồng vs những bạn nhạy cảm với hương liệu còn vs mình thì ok, mình dùng thì ko thấy kích ứng gì hết mấy bạn nào da dầu nên thử nha. Mua hàng chính hãng nên cũng yên tâm, mình sẽ ủng hộ tiếp","giao hàng nhanh đầy đủ quà tặng mình sử dụng đc 1 tháng r cũng thấy kiềm dầu khá tốt mùi sẽ hơi nồng vs những bạn nhạy cảm với hương liệu còn vs mình thì ok, mình dùng thì ko thấy kích ứng gì hết mấy bạn nào da dầu nên thử nha. Mua hàng chính hãng nên cũng yên tâm, mình sẽ ủng hộ tiếp",Kem Dưỡng Dạng Gel Sữa Dành Cho Da Mụn Với Tác Động Kép Normaderm Phytosolution Double-Correction Daily Care 50Ml,1,0,0,1,1,0,1,0,,,,,,,,,,,,,,,
"Kcn của La posay dành cho da dầu nên bôi lên kiềm dầu, khô ráo, không rít như các lọai khác 😬 Lọai mới dạng sữa giống của Sunplay ấy nhưng bôi lên khô nhanh lắm. Bạn nào sợ vón cục hay đang treatment da bong tróc thì có thể mix với kcn của Laneige để có độ ẩm, nhìn mặt mướt hơn.","Kcn của La posay dành cho da dầu nên bôi lên kiềm dầu, khô ráo, không rít như các loại khác 😬 Loại mới dạng sữa giống của Sunplay ấy nhưng bôi lên khô nhanh lắm. Bạn nào sợ vón cục hay đang treatment da bong tróc thì có thể mix với kcn của Laneige để có độ ẩm, nhìn mặt mướt hơn.",Kem Chống Nắng Không Màu Kiểm Soát Dầu La Roche-Posay Anthelios XL Dry Touch Gel-Cream SPF 50+ UVB & UVA (50ml),0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,
"Chỉ số chống nắng cao, thích hợp cho da dầu mụn, mình đã dùng hơn 3 năm rồi , rất thích sản phẩm này, chống nắng tốt, kiềm dầu tốt","Chỉ số chống nắng cao, thích hợp cho da dầu mụn, mình đã dùng hơn 3 năm rồi , rất thích sản phẩm này, chống nắng tốt, kiềm dầu tốt",Kem Chống Nắng Không Màu Kiểm Soát Dầu La Roche-Posay Anthelios XL Dry Touch Gel-Cream SPF 50+ UVB & UVA (50ml),0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,
Kcn này rất xịn . Kiềm dầu đỉnh lắm. Thấm nhanh . Dễ tán k dính . Rất tốt chất lượng 1000000 điểm 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,Kcn này rất xịn . Kiềm dầu đỉnh lắm. Thấm nhanh . Dễ tán k dính . Rất tốt chất lượng 1000000 điểm 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo Anessa Perfect UV Sunscreen Skincare Milk SPF 50+ PA++++ 20ml,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,
"Tiki giao nhanh dù đang giãn cách xã hội. Kem chống nắng Anessa dùng rất tốt, chống nắng tốt và kiềm dầu ổn. tuy nhiên nếu dính vào mắt lúc rửa mặt thì hơi bị cay mắt á. Hsd còn dài lắm tới 2024 lận.","Tiki giao nhanh dù đang giãn cách xã hội. Kem chống nắng Anessa dùng rất tốt, chống nắng tốt và kiềm dầu ổn. tuy nhiên nếu dính vào mắt lúc rửa mặt thì hơi bị cay mắt á. Hsd còn dài lắm tới 2024 lận.",Kem chống nắng dạng sữa dưỡng da kiềm dầu bảo vệ hoàn hảo Anessa Perfect UV Sunscreen Skincare Milk SPF 50+ PA++++ 20ml,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,
