,cmt,0
13,"Như mọi người có thể tìm thấy review sản phẩm trên mxh thì mình sẽ không nói lại, mà nói về chất lượng sản phẩm của shop thì rất tốt, mã vạch check ra đàng hoàng, uy tín. Mà đúng là sản phẩm này mới đầu xài không quen, mùi hơi hắc í và da dầu mình kiểm chứng là các bạn da dầu không nên dùng, tại không được sạch và kiềm dầu cũng không tốt lắm. Còn về phần chất lượng sản phẩm và tốc độ giao hàng của Tiki thì không chê vào đâu được, nói đúng ngày 15 giao là 15 giao để mai mình đi du lịch, mình cứ cuống cả lên mà Tiki thì lúc nào cũng uy tín trong việc đúng hẹn, mê thiệc chứ 😘 Nói chung là một sản phẩm rất tốt mà mọi người nên thử 😍","['vận chuyển', 'dịch vụ', 'mùi hương', 'độ bền']"
14,"Mình da hhtd, bị vài cục mụn, nhưng xài vẫn bth. Trước mình hay xài nắp vàng mà ko còn thấy size lớn trên mọi shop nữa. Mình xài thử loại này, thấm khá nhanh, hơi nâng tông da mặt chút, bôi nhiều có thể bị trắng lố xí 😂 nhưng 1 hồi nó bớt trắng, chống nắng khá tốt, mùi ko quá nồng. Kiềm dầu dc tầm 3 tiếng. Mình nghĩ nếu ko hoạt động hay ở ngoài nắng, có thể lâu hơn.","['mùi hương', 'kết cấu', 'độ bền']"
15,"Mình đã dùng anessa 3 năm nay ko đổi rồi. Chất kem kiềm dầu rất tốt, xịt chống nắng mát lắm. Dễ sử dụng và tiện lợi.",['độ bền']
16,"Như ở phần gt sản phẩm thì sữa rửa mặt này giúp kiềm dầu nên khi rửa xong mặt sẽ khá khô, mấy đứa mặt cả chậu dầu như mình thì thấy ok lắm nha.",['độ bền']
17,"Sản phẩm giống như quang cao. Hàng chính hãng . Team đầy đủ nguyên vẹn. Shop tư vấn nhiệt tình, giao hàng rất nhanh, Shipper giao hàng thân thiện. Chất lượng sản phẩm tuyệt vời kiềm dầu rất tốt, không bết dính.","['vận chuyển', 'dịch vụ', 'kết cấu', 'độ bền']"
18,Cảm thấy chân ái đâu quanh đây. Vì Dùng nhiều loại rồi mà vẫn ko hài lòng vì da dầu. Loại nào Bôi lên da dc 1lúc mặt cũng bóng nhẩy tối sầm mặt luôn. Loại này bôi lên tới chiều vẫn okla. Chỉ hơi trắng so với tông da của mình nhưng cái quan trọng với mình là kiềm dầu đỉnh so với các loại trc mình dùng,['độ bền']
19,"Chất kem mỏng, nhẹ, thoáng, kiềm dầu tốt, da dầu-hỗn hợp dùng rất hợp. Bảng thành phần oke, nhưg có slicone nên ai mà dị ứg thì ko nên mua. Giá quá hợp lí cho sv như m","['giá', 'kết cấu', 'độ bền']"
20,"chất lỏng, thấm nhanh, khi mới bôi thì có mùi hơi khó chịu nhưng nhẹ thui và sẽ mất sau 1 2', kiềm dầu ổn, chỉ sáng da lên thui chứ không nâng tông mấy. Mình cũng mới sài 1 lần nên chưa biết hiệu quả như nào. Nchung với giá thành này thì rất ok luôn vì kiềm dầu ổn cho mấy người da nhiều dầu như mình","['giá', 'mùi hương', 'kết cấu', 'độ bền']"
21,Hàng chuẩn rất phù hợp vs da nhạy cảm kiềm dầu. Mình đã sd rất nhiều loại kcn nhưng loại này là ưng nhất nên giờ chỉ dùng loại này thôi,"['dịch vụ', 'độ bền']"
22,"tiki giao hàng tốc độ, 11h đặt thì 16:30 cùng ngày nhận được hàng r.
Skin aqua thì mình dùng n lần r, rẻ, kiềm dầu cả ngày, ẩm mịn, lên tone nhẹ, chống trôi tốt... lần này đặt 2 chai đang giảm giá, r được free ship, tính ra chỉ 140k cho 1 chai 55g.","['vận chuyển', 'giá', 'kết cấu', 'độ bền']"
23,"Hồi trước mình cũng dùng sản phẩm cũng hãng này rồi thấy rất ok, giờ có phiên bản mới cũng rất nhiệt tình ủng hộ. Sản phẩm có hương thơm hoa quả nhè nhẹ, kết cấu sản phẩm lỏng trắng đục thấm nhanh trên da. Thành phần còn giúp dưỡng da, giúp kiềm dầu tầm 4-5 tiếng đồng hồ phù hợp với da dầu. Mọi người có thể mua để trải nghiệm sản phẩm nha","['mùi hương', 'kết cấu', 'độ bền', 'Màu sắc']"
24,"Để cho công tâm thì mình phải nói là mình rất ưng sản phẩm này. Tuy nhiên 1* là dành cho dịch vụ promotion của Anessa. Mình thấy giống như Anessa đang lừa người mua hàng, lý do:
- Trước ngày 6/6: Anessa quảng cáo mua tuýp kcn nâng tông vào ngày 6/6 thì dc tặng lọ kcn kiềm dầu. Đến sang ngày 6/6 mình vào mua thì báo tạm ngưng bán
- Ngày 6/6 mình đặt mua bộ đôi kcn kiềm dầu giá 625k và Anessa có phiếu giảm giá 100k cho đơn hàng giá trị trên 600k, tuy nhiên k áp dụng dc. Hỏi nhân viên của shop thì nói là phiếu có HSD là 7/6, tức là ngày 7/6 mới dùng dc. Đến 7/6 mình mua thì k thấy mã đâu, nhân viên Anessa cứ nói là do mình không đọc kỹ. Thực sự thất vọng","['giá', 'dịch vụ', 'độ bền']"
25,"Khok rất nhèo vì không phải tone up, may cái da mình cũng tạm gọi là trắng nên đánh phấn kiềm dầu nữa cũng được rồi, mà mấy loại kem chống nắng này vỏ tương tương nhau đọc không kĩ sẽ nhầm mn chú ý nha, còn chất rất là ok nhé, mình thích hơn cả cái có tone up cũ của innisfree mà mình từng xài, mall nên yên tâm mua nhé","['kết cấu', 'độ bền']"
26,"Sản phẩm tốt date mới hàng chính hãng ko có trôi nổi như mấy shop trên thị trường, date mới
Điểm cộng là Tiki giao nhanh chưa tới 2H đã nhận đc thứ 4 có beauty club mình áp mã giảm còn có 170k/ 8 miếng
Hiệu quả mask này thì đắp phê. Giảm sưng và mụn gom còi nhanh hơn. Kiềm dầu mua dự trữ để da đẹp ăn tết thui kkkkkk🥳 còn hơn tuần nữa là tết r mn ơi","['vận chuyển', 'giá', 'dịch vụ', 'độ bền']"
27,Sản phẩm phù hợp với da dầu. Khả năng kiềm dầu rất tốt. Se khít lỗ chân lông. Da mặt tươi hơn. Nên dùng 1 tháng để thấy rõ kết quả. Lúc áp lên mặt sẽ có cảm giác châm chích da. Một lúc sẽ hết. Mùi thì hơi khó chịu cho những ai mới dùng. Mình dùng hộp thứ 4 rồi nên quen. Nên kết hợp nhiều bước dưỡng da để có làn da khoẻ đẹp. Dưỡng chất trong da rất nhiều. Mình dùng cho cả phần cổ.,"['mùi hương', 'độ bền']"
28,"giao hàng nhanh đầy đủ quà tặng mình sử dụng đc 1 tháng r cũng thấy kiềm dầu khá tốt mùi sẽ hơi nồng vs những bạn nhạy cảm với hương liệu còn vs mình thì ok, mình dùng thì ko thấy kích ứng gì hết mấy bạn nào da dầu nên thử nha. Mua hàng chính hãng nên cũng yên tâm, mình sẽ ủng hộ tiếp","['vận chuyển', 'dịch vụ', 'mùi hương', 'độ bền']"
29,"Kcn của La posay dành cho da dầu nên bôi lên kiềm dầu, khô ráo, không rít như các lọai khác 😬 Lọai mới dạng sữa giống của Sunplay ấy nhưng bôi lên khô nhanh lắm. Bạn nào sợ vón cục hay đang treatment da bong tróc thì có thể mix với kcn của Laneige để có độ ẩm, nhìn mặt mướt hơn.","['kết cấu', 'độ bền']"
30,"Chỉ số chống nắng cao, thích hợp cho da dầu mụn, mình đã dùng hơn 3 năm rồi , rất thích sản phẩm này, chống nắng tốt, kiềm dầu tốt",['độ bền']
31,Kcn này rất xịn . Kiềm dầu đỉnh lắm. Thấm nhanh . Dễ tán k dính . Rất tốt chất lượng 1000000 điểm 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,"['kết cấu', 'độ bền']"
32,"Tiki giao nhanh dù đang giãn cách xã hội. Kem chống nắng Anessa dùng rất tốt, chống nắng tốt và kiềm dầu ổn. tuy nhiên nếu dính vào mắt lúc rửa mặt thì hơi bị cay mắt á. Hsd còn dài lắm tới 2024 lận.","['vận chuyển', 'dịch vụ', 'độ bền']"
33,"Đã nhận đầy đủ sp như km: sữa chống nắng kiềm dầu Anessa chính hãng. Săn đc deal flash sale : 1+1 tặng thêm gel chống nắng full size luk 0h. Giá hời 975k đc 3 sp, mới sx t6, t7/22. Hsd 3 năm
Chất lượng tốt, đã mua lại nhiều lần
Thanks!","['giá', 'dịch vụ', 'độ bền']"
34,"NGƯỜI GIAO HÀNG: mình không hề chê mình đặc biệt ấn tượng tốt với đội ngũ giao hàng bên TIKI, cũng có thể tuyến địa chỉ giao hàng của mình đều gặp các anh giao hàng thân thiện xịn sò

SẢN PHẨM: mình ưng nên thấy TIKI có combo rẻ lại tặng quà ok ổn áp nên mua, thật sự chia sẻ là TIKI có deal này bên nhà Anessa cực kỳ ổn thoả, mình có lời khen với đội ngũ hợp tác 2 bên, đỉnh chóp, không cần bàn sản phẩm vì mình xài hợp vad rất thích, kiềm dầu tốt và có tone up da nhẹ để cả ngày không bị xuống tone, da vẫn rạng ngời ráo mịn, chất dễ tán không bị vón cục, chỉ biết khen về sản phẩm thôi

GÓI HÀNG: mình thích cách gói hàng bên TIKK vì không để tên sản phẩm KH mua trên bill và đa phần hàng đến tay mình đều còn rất chỉnh chu và đẹp đẽ, có thể ở phần đóng gói và anh giao hàng có sự kỹ lượng nhẹ nhàng vs hàng của KH

TIKI: cái khiến mình đánh giá không cao là ở khâu nhà vận chuyển xử lý cồng kềnh đối với đơn hàng của mình, mình không có nhu cầu giao gấp và nói thẳng phí ship 50k nên tính ra mình chẳng hời bao nhiều, mình chọn giao fast bth nhưng chả hiểu sao tách đơn mình ra làm 2, mua sp tặng kèm quà mà sp 1 đơn quà 1 đơn :)) đã thế còn tính 4k (hẳn là VAT) cho từng đơn :)) thấy rất chi cồnh kềnh và phiền phức.","['vận chuyển', 'giá', 'đóng gói', 'dịch vụ', 'kết cấu', 'độ bền']"
35,"tote trắng Anessa cho đơn từ 499k
Sữa chống nắng dịu nhẹ cho da nhạy cảm và trẻ em với kết cấu mỏng nhẹ, kiềm dầu, mịn mượt & nâng tông (phù hợp mọi loại da, đặc biệt là da nhạy cảm thường đến thiên dầu)","['giá', 'kết cấu', 'độ bền']"
36,"Chất kem lỏng thoa vào da dễ chịu nhưng có vẻ không kiềm dầu tốt. Mùi hương của sản phẩm khá hắc nên không thích lắm, khác xa với các sản phẩm dưỡng ko mùi của Skin 1004 mình dùng. Nói chung là em này mình ko thích lắm về chất lượng","['mùi hương', 'kết cấu', 'độ bền']"
37,"Nhờ có tiki so sánh giá mà mua đc giá tốt, hàng real. 
Hàng này hợp vs da mụn đang treatment hoặc sd tẩy tbc hoá học, vì khi skincare nặng đô như trên mình xài cái này nó nhẹ da. Khi bình thường thì da dầu ko nên xài vì nó hợp da khô, ko có kiềm dầu, bình thường skincare ko treatment mình sẽ xài toner khác. Nói chung rất tốt ??","['giá', 'dịch vụ', 'độ bền']"
38,"Kem chống nắng kiềm dầu tốt, không nâng tone, da mình hỗn hợp thiên dầu dùng thì hơi khô 1 vài chỗ, dùng sau bước serum hoặc kem chống nắng thì sẽ bị vón lại xong kì ra ghét luôn á. Đợi khô tầm 10p mới bôi kcn thì sẽ đỡ hơn. Chống nắng phổ rộng cho da đang điều trị siêu ổn.",['độ bền']
39,"Sản phẩm đóng gói kĩ càng, giao hàng siêu nhanh. Da mình da dầu + mụn, mình được mn khuyên mua của Eucerin dùng thử vì nó kiềm dầu tốt, nên mình quyết định mua dùng xem như nào. Chất lượng dịch vụ thì good nhé!!","['vận chuyển', 'đóng gói', 'dịch vụ', 'độ bền']"
40,kiềm dầu rất tốt thích hợp với da dầu.,['độ bền']
41,"Màu lên đẹp, dễ nhuộm, nhưng mỗi lần gội đầu vẫn còn ra màu, dù đã dùng 3 tháng.",['Màu sắc']
42,"Chất sơn xin lắm ah, màu này lên trắng răng với lại mướt môi , khum bị lộ vân môi nhìu ạ. Tại em mua sale nên có 2 trăm hơn ạ, nếu bạn nào thích nổi bật bởi màu môi đỏ đậm đậm, nhìn sang sang thì màu nò lên đẹp nha, còn bạn nào chỉ thích màu môi nude nude 1 tú thì nó hơi ố đề ạ 😉","['giá', 'kết cấu', 'Màu sắc']"
43,"Son đẹp lắm nha m.n, ban đầu mình băn khoăn giữa 2 màu immanence vs màu live  a little, mình có xem review về các màu son này mà mỗi video mk thấy màu nó ko giống nhau, chắc do ánh sáng, có video màu bị nghiêng về cam, có video màu nghiêng về hồng, có nhân mk thích màu đỏ trầm hơn cam nên mk chọn immanence, như các bạn thấy đấy trên ảnh nó đỏ chói lọi chứ ngoài nó đỏ trầm đúng kiểu mk thích, mà nhìn môi nó còn mọng cơ, đẹp hơn trên ảnh nhiều, vậy nên rất đáng để mua,",['Màu sắc']
44,"màu đẹp, mượt môi dễ sd","['kết cấu', 'Màu sắc']"
45,"Đặt carrot pink đi giao active lady???
Nếu shop k còn màu thì nên báo cho KH chứ?","['dịch vụ', 'Màu sắc']"
46,"Chất son mịn, không bị khô môi, màu đỏ đậm nhưng lên môi vẫn tươi rất đẹp nha mọi người!
Mình băn khoăn mỗi điều là không có tem chống hàng giả của bộ công an gì hết á, không biết hàng chuẩn không nữa.","['dịch vụ', 'kết cấu', 'Màu sắc']"
47,"Son lên môi rất thích, không có màu nhé mọi người, chỉ giữ ẩm cho môi thôi","['độ bền', 'Màu sắc']"
48,Màu xinh xỉu,['Màu sắc']
49,"Son kem dùng khá thích mỏng nhẹ không bị dày .điểm cộng nữa là dùng không bị khô môi hay lộ rãnh môi.màu lên nét luôn nên chỉ cần tô 1 lần là đủ. Đầu chổi dễ lấy son và gạt son,màu mình nghũ sẽ hợp với nhiều tông da","['kết cấu', 'Màu sắc']"
50,"Vỏ đẹp son cũng đẹp nữa. Màu c01 dễ dùng, chất mịn không vón cục. chất mướt và mềm môi. giữ màu tốt","['kết cấu', 'độ bền', 'Màu sắc']"
51,"Son chất lên thích, màu nét nên chắc chỉ cần tô 1 lần thôi là đủ. Son thơm thơm 🥰","['mùi hương', 'kết cấu', 'Màu sắc']"
52,"Chất tơi.mịn khônh bị bột với vón cục. Khá thích ở điểm này, chất son cũng mỏng nữa. Lên môi khônh bị khô, nét môi. Màu bám nhanh không phải tô lại. Thiết kế đơn giản bắt mắt","['kết cấu', 'độ bền', 'Màu sắc']"
53,"Son kem nhưng chất đặc, khó tán đều, màu rất đậm. Dùng kèm son dưỡng nhưng vẫn khô môi, dễ trôi khi ăn, không lỳ như mong đợi.","['kết cấu', 'độ bền', 'Màu sắc']"
54,"Set son đẹp, cây son cũng xinh nữa. Chất son dễ tán không bị dày. Màu mình chọn cũng xinh Cũng mềm môi k bị khô cong. Shop thân thiện nhiệt tình","['dịch vụ', 'kết cấu', 'Màu sắc']"
55,"Son đẹp, hộp đẹp. Màu lên đẹp","['đóng gói', 'Màu sắc']"
56,"Hộp đẹp lung linh, son đẹp chất mịn. Màu dễ đánh","['đóng gói', 'kết cấu', 'Màu sắc']"
57,"Son dưỡng tốt có màu nhẹ hợp cho những bạn ít dùng son.
Giúp mặt trông đỡ nhợt nhạt nhiều dù chỉ là son dưỡng.",['Màu sắc']
58,"Dưỡng ẩm tốt, có mùi dâu giống mùi kem đánh răng em bé mà hồi nhỏ mình hay xài í, lên màu nhẹ nhẹ xinh lắm luôn. Dịch vụ của tiki thì khỏi phải chê rồi. Siêu ưng cái bụng ???","['dịch vụ', 'mùi hương', 'độ bền', 'Màu sắc']"
59,"Son này có mùi ngọt ơi là ngọt luôn ý, các bạn từng ngửi mùi kẹo mút vị dâu chưa, đấy chính là mùi của son này, thoa lên tay thì thấy có màu nhưng mà bạn nào môi thâm hay là môi không sáng màu thì nó sẽ khó thấy màu nhé. Nói chung son này môi mịn, láng,... Ủng hộ nhiệt tình nếu bạn mua~~","['mùi hương', 'kết cấu', 'Màu sắc']"
60,"hủ nhỏ nhỏ xinh xinh, màu như hình, mùi thơm thơm, môi mềm hơn, còn có bớt thâm không thì chưa biết .","['mùi hương', 'Màu sắc']"
61,"4* cho màu son
3* cho dịch vụ cskh của tiki
1* cho chất lượng sp. Giao lần 1 cây son bị trầy xước lem phần son bên trong. Đã đổi lại. Tuy nhiên giao lại lần 2 cũng ko được son nguyên, có dấu hiệu đã dùng r ở phần đầu son? ngại phiền nên mình nhận luôn. Sau chắc k mua son trên đây nữa đâu.","['dịch vụ', 'Màu sắc']"
62,"chính thức làm fan của Shiseido. Chất son mịn, màu lên hơi nhạt (hồng) nhưng nhìn không cheap.","['kết cấu', 'Màu sắc']"
63,"son lên màu rất đẹp
ecrcrvtvtbybynunumungb&fcrcrvtgtbyny",['Màu sắc']
64,"sản phẩm dùng ổn, mình mua màu nhầm màu 1.25 sáng quá che ko đc nốt mụn, nhìn hơi sần sùi, dùng che bọng mắt và quần thâm thì ok, có thể dùng làm kem nền luôn, rút kinh nghiệm lần sau mua màu tối hơn",['Màu sắc']
65,"Son quẹt 1 lần như son bóng, màu rất nhạt như chỉ co bóng không. Quẹt 2 lần mới lên màu hồng nhạt chút. Quẹt 5 lần mới lên màu đỏ. Giữ bóng 1 tiếng, giữ màu tầm 2 tiếng xong thành hồng. Mùi ngọt khó chịu ko thích lắm.","['mùi hương', 'độ bền', 'Màu sắc']"
66,"màu thật ở ngoài hồng hơn nha, do mình ánh sáng chỗ mình nên màu không chuẩn lắm.",['Màu sắc']
67,"Màu son tự nhiên MLBB, mùi son cũng thơm nữa. Lớp bóng đẹp, lớp tint bám khá chắc. Son cầm chắc chắn mà packaging cũng xinh xỉu. Đầu cọ nhỏ dễ tô :)","['đóng gói', 'mùi hương', 'độ bền', 'Màu sắc']"
68,Tốt giao hàng nhanh đúng màu đúng mẫu màu lên xinh lắm nhưng mà mới tha khó bám môi xíu nhưng màu xinh nha,"['vận chuyển', 'Màu sắc']"
69,Chất lượng sản phẩm tuyệt vời.đóng gói sản phẩm rất đẹp và chắc chắn . màu đẹp . rất ưng,"['đóng gói', 'Màu sắc']"
70,"Son xinh lắm nè cầm chắc tay, mùi ngòn ngọt nha, chất son hơi dày nhưng màu lên xinh lém nè, vowis giá này thì nên mua nha mn","['giá', 'mùi hương', 'kết cấu', 'Màu sắc']"
71,"Son lên màu đẹp, ít bị lem, ít để lại dấu khi đeo khẩu trang","['độ bền', 'Màu sắc']"
72,"Màu son đẹp, đúng như màu mình đặt
Mới sử dụng thử thấy mềm và mịn, chưa thấy bị khô môi.
Nói chung là hài lòng nha shop","['kết cấu', 'Màu sắc']"
73,Màu đẹp xài cực kỳ thích,['Màu sắc']
74,màu son rất đẹp nhé. mịn môi không bị khô . nên mua . nói chung ít khi mua online mà rất ưng ý,"['kết cấu', 'Màu sắc']"
75,"Son đẹp, sang hộp cũng đẹp nữa. Màu đẹp. Good!","['đóng gói', 'Màu sắc']"
76,"Màu son nhìn ko giống màu mình đặt là đỏ cam, nhưng đánh lên thì màu ko đậm như màu cây son.",['Màu sắc']
77,Son tốt chỉ là màu chưa được ổn định nhưng vẫn cho 5 sao,['Màu sắc']
78,"Màu son đẹp, mềm môi",['Màu sắc']
79,"Màu đẹp, dễ kẻ, giao hàng nhanh","['vận chuyển', 'Màu sắc']"
80,"Màu nhạt so với trên ảnh, rất cưng nên dễ gãy khi dử dụng",['Màu sắc']
81,Bút kẻ mắt về kẻ ko ra màu gì hết. Chắc hết mực hoặc để lâu quá. Nhan hàng xong khui ra thử liền mà thất vọng quá!!!,['Màu sắc']
82,Sản phẩm tốt Sài rất OK nhưng hơi trắng màu tối tí thì OK hơn,['Màu sắc']
83,"Son khá cứng, cảm giác không dưỡng ẩm nhiều, được cái là không bóng môi, dễ dàng thoa tiếp son màu. Nhưng nắp lỏng lẻo, dùng 1 thời gian là nắp rơi ra luôn. Không mùi, không màu.","['mùi hương', 'độ bền', 'Màu sắc']"
84,Ôi mê mẩn luôn. Màu đẹp lắm luôn. Sẽ ủng hộ shop dài dài.,['Màu sắc']
85,"màu son rất đẹp và mịn, dùng khi trang điểm hoặc không trang điểm đều được. chỉ tiếc độ bám màu không như mong đợi, dễ trôi son lòng môi, chỉ còn lại viền","['kết cấu', 'độ bền', 'Màu sắc']"
86,Son màu rất đẹp và sang. Bao bì chắc chắn,"['đóng gói', 'Màu sắc']"
87,"Vỏ giấy bên ngoài thì nhìn trông chán lắm, dấu hiệu cậy mở nhiều lần. Chất son rất thích, màu sexy hợp vs đi chơi, ăn tiệc.","['đóng gói', 'kết cấu', 'Màu sắc']"
88,"Son đẹp, lên màu chuẩn... :)",['Màu sắc']
89,Phần nước hơi lỏng phù hợp bạn nào thích mỏng nhẹ tự nhiên. Bám da đều màu da lắm. Cây bong phấn đầu nấm dùng rất thích tuy nhiên lại không tiện để mang đi,"['kết cấu', 'độ bền', 'Màu sắc']"
90,"Cũng thích loại phấn nước này, độ che phủ hoàn toàn ko cao, nhưng đánh lên da trông mọng nước, trông căng và bóng, trắng hơn. (Bạn nào ưa màu tự nhiên nên lùi 1 tông) Mùi thì tạm, ko thơm, ko hôi :) Nói chung chắc mình sẽ xài em này như 1 lớp make up sau khi đánh kem nền và che khuyết điểm, rồi phấn nước xịn như IOPE chẳng hạn, sau đó sẽ dặm thêm em này lên, da trông sẽ bóng đẹp như mấy em HQ ???","['mùi hương', 'kết cấu', 'Màu sắc']"
91,Màu đẹp và bám da tốt.,"['độ bền', 'Màu sắc']"
92,"Màu son đẹp 3 màu khác nhau, hộp nhìn sang. Có túi giấy với thẻ bh đi kèm","['đóng gói', 'Màu sắc']"
93,"chất cushion mịn, bóng, màu tệp da, bông tán mềm","['kết cấu', 'Màu sắc']"
94,"Màu sắc y như bao bìa. Cầm nặng tay, chắc chắn. Thiết kế đẹp. Vẽ tầm 1p là khô, bám tốt, không bị lem khi đụng nước. Quá ưng.","['dịch vụ', 'độ bền', 'Màu sắc']"
95,"Giao hàng nhanh, đóng gói tốt, date xa nên yên tâm. Dạng sữa phải lắc đều trước khi sd, bôi lên tay thấy mát, nhanh thẩm thấu, có lên tone nhưng ko nhiều có lẽ do da tay mình trắng sẵn rồi. Mùi hơi nồng nhưng bay mùi nhanh hơn loại essence màu green mint. Bôi xong để lại trên da một lớp bột mịn mịn mỏng mỏng. Tổng quan thấy ok hi vọng bôi lên mặt ổn.","['vận chuyển', 'đóng gói', 'dịch vụ', 'mùi hương', 'kết cấu', 'Màu sắc']"
96,"Kết cấu dạng gel màu trắng đục như sữa, tạo bọt nhiều và mịn, rửa xong không thấy bị khô hay căng da mặt rất thích. Ai dùng mỗi kem chống nắng thôi thì em này làm sạch rất tốt nha, còn trang điểm thì không sạch hết được đâu.","['kết cấu', 'Màu sắc']"
97,"Thích vikcy hơn nạ. Mặc dù kcn loại này có nhiều ng review tốt. Bôi lên ko cẩn thận hay bị cay mắt lắm. Nên bôi khi da đã khô, chứ nếu còn ẩm ướt thì bôi lên sẽ màu váng trắng khó chịu. 
Nhà laponche đây nhé",['Màu sắc']
98,"Giao hàng nhanh, hàng nguyên vẹn, nhưng thấy giơ lên xem có nửa chai (đóng bao bì rõ to) không biết có đủ trọng lượng 25g không ???
Chất kem màu trắng mới thoa thì hơi nhờn bóng, 1 lúc sau thì thấm hết, về khoản nâng tone thì nâng rất rất nhẹ khi thoa thôi, sau thì không có gì khác biệt. Kiểm dầu thì chưa biết, vì vừa nhận. Sẽ phản hồi sau","['vận chuyển', 'đóng gói', 'kết cấu', 'Màu sắc']"
